"Protein.Ids","ALM6","ALM7","ALM8","ALM9","ALM10","ALM11","ALM12","ALM13","ALM14","ALM15","ALM16","ALM17","ALM18","ALM19","ALM20","ALM21","ALM22","ALM23","ALM24","ALM25","ALM26","ALM27","ALM28","ALM29","ALM30","ALM31","ALM32","ALM33","ALM34","ALM35","ALM36","ALM37","ALM38","ALM39","ALM40","ALM41","ALM42","ALM43","ALM44","ALM45","ALM46","ALM47"
"A0A024RBG1","2198.56","2185.21",NA,"1469.29","3406.03","3962.32","1855.16",NA,"4988.31","7309.66",NA,"1788.98",NA,"4980.29","5350.97","2206.37",NA,"6785.58",NA,"4795.23","3142.81","3015.42","3901.65","2523.92","6479.48","7428.51","7910.21","6591.34","8257.99","7875.45","5446.27","2531.87","2957.05","5472.6","2898.75","2445.04","6716.84","5740.78","5686.73","2078.14","4702.62","4009.81"
"A0A0B4J2D5","9513.46","7434.22","7924.95","10275.3","8995.89","6351.71","8618.64","9032.69","9126.18","8081.43","7036.96","6543.25","5882.01","6590.96","8256.73","5914.81","6062.24","3953.61","7290.06","8176.72","10346.7","6902.4","8293.83","7449.86","7910.69","8223.34","5264.84","7414.24","4561.7","6527.11","3445.19","9132.65","9717.73","5193.64","8669.6","5882.95","5518.17","6985.75","4275.19","5099.66","8058.24","9883.56"
"A0AVT1","6613.02","8601.22","6216.01","6088.29","6107.97","7524.79","4307.74","6269.53","5566.3","7321.23","9572.94","9933.57","11050.9","7586.92","7037.84","5228.47","9337.71","9768.08","5453.42","8849.18","5766.61","9094.64","8381.4","7226.88","6590.62","7462.96","9455.09","7347.12","8585.18","7775.44","10617.8","5201.67","6829.13","10088.2","7825.76","5636.94","11147.3","9578.23","7898.04","6236.83","7728.75","4341.18"
"A0FGR8","7214.67","7887.3","8760.31","7670.38","7403.84","6945.12","7150.64","7202.73","6447.29","7114.27","8034.79","6742.05","8571.54","7778.34","6586.86","7398.27","7075.75","6071.17","7493.66","7733.2","6129.93","10126.9","7454.67","7314.46","8440.02","8433.08","6494.21","8242.34","4621.62","5716.84","6871.36","8215.86","8027.33","6067.06","8540.94","6797.36","5712.83","8722.9","4892.99","8839.73","9189.92","8110.74"
"A0JNW5","1853.17","2198.96","1909.86","1237.81","2222.05","2870.85","2226.64","5165.55","1887.31","2022.55","4214.54","3265.49","2532.56","2919.9","1970.46","1642.33","3034.81","2842.35","4226.88","1961.31","1776.9","2931.64","2007.32","2792.83","2033.1","1978.04","4669.77","1422.97","3080.89","3772.52","1959.17","1521.11","2241.23","2504.55","1823.69","2527.51","1896.24","3674.29","3688.21","2412.62","2648.33","1532.34"
"A1L0T0","6181.81","6841.84","4795.58","3392.22","5643.26","4928.23","3997.88","4423.15","5420.6","6290.93","6219.05","5069.29","5497.78","6623.1","5093.95","3865.04","5657.79","8175.58","3625.37","5558.93","3618.2","5319","7883.67","5784.19","5640.36","7351.5","6121.75","7553.33","7224.02","6839.65","7461.22","4732.08","5091.04","5984.79","5801.9","3239.5","7771.1","8327.26","7063.78","5130.25","6837.82","5467.54"
"A1X283","2146.1","2051.9","2123.38","1745.89","1022.89","1635.35","1138.68","1336.22","2288","1531.52","1411.86","1554.16","1827.12","2292.98","2243.99","1385.57","1487.46","2327.86","1510.22","2056.44","1366.84","1756.65","2108","905.475","1618.99","1624.42","1569.86","1636.92","1873.59","1862.44","1695.39","1570.71","1509.23","1655.82","1750.93","917.85","1508.44","1672.53","2356.55","1691.76","1455.1","1479.51"
"A1XBS5","984.504","447.912","801.039","983.364","746.674","876.447","520.419",NA,"608.347","778.57","1006.36","699.576","584.261","407.986","806.273","1178.18","659.214","331.318",NA,NA,"1174.88","724.162","711.447","620.281","693.976","1215.01","1246.6","731.521","679.271","705.167","426.964","814.652","1114.52","536.188","1227.83",NA,"739.963","966.428","933.156","1054.63","750.219","653.1"
"A2RRP1","3693.53","6152.99","4644.26","4125.39","5523.4","4529.34","3387.49","5341.57","4530.41","4574.73","6579.68","5451.82","7269.96","6374.4","5040.61","4652.07","5969.65","7552.83","4432.09","6488.5","2875.73","6529.04","5237.32","5514.49","5138.97","6987.07","6007.23","5483.33","5001.14","8467.91","7279.58","3628.65","4126.83","7415.73","5273.95","3350.16","6124.64","8332.15","6428.9","5222.91","6099.94","3741.46"
"A4D1P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"339.552",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333.765","434.054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190.731",NA
"A5A3E0","137971","101803","53171.6","144620","79807.4","52162.9","160070","82668.5","105815","92328.1","91195","104191","48324.9","39508.5","37938.5","175088","29754","54863.5","155432","91295.4","209224","123620","113830","69455.5","150314","86340.3","79169.3","95425.4","40212.9","43814.9","74289.3","139355","149177","52228.5","105199","175415","64566.6","90511.8","55276.4","162778","101318","56484.1"
"A5D8V6","276.884","226.088",NA,NA,NA,NA,NA,NA,NA,"208.728",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"303.638",NA,NA,"179.745",NA,NA,NA,NA,NA,NA,"60.0623",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A5PLL7","2950.78","6943.42","2910.14","3167.68","2969.85","6632.62","1359.54","2148.32","2926.11","6355.87","8596.77","5838.04","12358.9","6363.93","4165.58","3264.19","6972.54","9364.72","2022.17","7499.29","2371.51","9443.77","5191.21","3043.32","3448.42","5517.92","11532.8","5557.88","7632.25","9301.56","5142.85","1324.24","3759.61","7409.91","3217.84","2604.94","6314.6","5146.86","9297.64","3183.12","3563.62","2685.05"
"A5YKK6","3666.07","4899.39","4148.5","3416.46","4479.7","4964.9","2317.36","2807.61","3815.26","5782.59","10329.5","6046.99","10218.1","6127.57","6019.97","3715.71","8663.16","8920.4","2949.01","5738.04","2896.46","6195.69","6655.56","4748.52","4204.72","7529.85","8819.45","5961.46","5432.67","6278.79","4884.94","2384.72","2845.21","6199.8","4241.3","2914.34","4496.43","6645.64","7448.1","5750.51","6043.93","3691.1"
"A6NCE7","43021.5","29810.8","48153.7","34445.2","28422","40264","21599.6","14304","45359.6","33632.4","25281.1","32482.3","42892.1","40659.4","40254.8","40103.1","17906.4","23148.9","14523.1","34824.3","27211.7","31044.4","38838.3","34782.1","41173.2","26206.9","22193.8","22383.5","23113.7","20841.1","34606.6","38229.3","31661.3","30525.2","37146.4","27729.1","28717.4","28381.6","18664.9","22643.5","25058.5","44333.5"
"A6NDG6","1656.82","1760.33","1504.62","2161.78","1862.24","1484.24","1406.03","1295.19","1866.84","1967.5","1422.89","1384.57","1591.02","1434.24","1863.31","959.982","1487.58","1186.11","1323.73","1594.23","2457.91","1453.59","1967.51","1817.43","2012.48","1449.62","1765.2","1733.77","1361","717.701","1159.89","1978.47","2095.97","1528.92","1693.21","1654.96","1510.01","2000.83","1616.11","1440.14","1267.12","1476.07"
"A6NDU8","1622.76","2098.93","2122.03","2348.96","2389.31","2983.3","1193.05","2275.02","1373.65","1822.37","2511.02","2030.57","2501.32","2712.52","2314.92","1537.07","1774.24","1892.93","2555.45","3166.11","2453.63","3062.18","2739.58","2358.55","2247.41","2212.28","1640.25","908.337","673.452","1175.4","1838.99","1409.6","2634.27","2916.98","2604.02","1424.09","1801.33","1908.61","1307.64","1728.48","1836.72","1957.37"
"A6NHL2","4399.81","2585.92","4698.37","3160.84","5206.43","2306.15","5047.53","4566.76","4138.91","3709.71","5742.9","5497.28","3620.11","2762.47","3897.12","3047.46","3851.08","3097.28","5507.18","3039.56","3728.69","2784.44","2251.69","6504.92","3722.54","2594.08","3879.44","2209.54","2532.73","2749.86","3070.9","3555.55","4187.96","5088.01","3396.79","2861.45","1894.92","2720.68","1970.48","4225.48","3743.51","3933.01"
"A6NHR9","5209.41","5122.54","3493.9","1723.35","4592.95","5667.41","1061.1","2900.5","5464.98","5435.35","5769.14","8743.96","10894.4","8716.04","6224.08","2724.37","6082.37","11781.2","1372.94","7361.41","3252.92","6860.2","7320.7","3073.58","6844.65","8161.76","9192.61","5412.45","6653.18","7066.36","5955.59","4996.16","5854.54","9825.54","4045.92","5995.54","14334.1","10622.9","6200.51","5116.61","3758.96","3028.54"
"A6NKT7","8217.95","3546.91","13865.4","970.214","958.551","11372.1","1358.4","1310.22","13792.8","1702.95","2258.05","748.985","11895.5","22293.3","16834.9","3721.67","822.446","14113.8",NA,"13910.4","400.492","4732.8","14457.2","2526.65","13148","9923.1","516.617",NA,"1706.3",NA,"1062.53","1829.95","753.24",NA,"2446.14","1554.05","2880.66","12610.3",NA,"8992.59","3355.57","7626.19"
"A6ZKI3","2888.71",NA,"3371.4","1255.9","1152.61",NA,"2758.19","1291.83","3027.55",NA,NA,NA,NA,"1251.39",NA,"3813.63",NA,NA,"1094.19","493.336","2612.52",NA,"1105.25","1703.58","3427.35","519.795",NA,NA,NA,NA,NA,"3212.28","1546.72",NA,"2949.86","2106.67",NA,NA,NA,"2108.24","2471.27","4123.55"
"A7E2V4","169.308",NA,"309.033",NA,NA,NA,NA,NA,"153.974",NA,NA,NA,NA,"300.824","366.176",NA,"220.168","416.498",NA,NA,NA,NA,"377.803",NA,NA,NA,NA,NA,"294.118","220.049","312.486",NA,NA,NA,"186.84",NA,"470.442",NA,"640.446",NA,"513.605",NA
"A8MWY0",NA,NA,NA,NA,NA,NA,"1521.91",NA,NA,NA,NA,NA,NA,NA,NA,"2653.46",NA,NA,NA,NA,NA,NA,NA,NA,"314.661",NA,NA,NA,NA,NA,NA,"478.14",NA,NA,NA,"688.245",NA,NA,NA,"1886.08",NA,NA
"A8MXV4","2647.19","5097.29","2604.64","4063.31","4390.65","3841.29","2874.95","4034.59","4145.54","4522.53","6076.16","4580.27","5169.86","3363.43","2090.46","2765.71","5424.48","4327.08","2994.23","3542.84","1722.67","3232.19","3910.84","4489.09","2949.81","5369.6","5534.81","6051.72","4831.09","3341.67","5167.85","1784.91","4134.65","7591.38","3839.94","1794.52","3514.65","3641.62","4608.94","3266.5","3468.28","2631.3"
"A9UHW6","2276.14","2424.33","1782.78","1603.68","1922.7","1405.11","1582.29","2194.05","2132.23","1948.07","2650.81","2632.03","2099.29","2224.16","2582.96","1398.49","1622.84","1805.22","2042.9","2069.76","2626.72","3154.95","2266.44","3013","2454.83","2037.7","2229.64","2069.12","1150.2","1188.78","1358.84","1518.49","3027.71","2453.96","1768.23","1554.78","1847.04","1657.9","1099.07","2040.91","1874.61","1556.99"
"B5ME19","20106.6","17373.2","20727.1","12400","14200.7","23464.2","10134.3","13217.8","19901.7","16785.3","15368.8","12603.6","21575.9","20082.1","19104.1","22616.5","13379.9","18805.7","13429.4","21431.9","9617.93","19307.5","19820.1","10192.9","19485.9","20202.4","17273","17890.4","15402.9","16640.2","19386.5","15205.7","10075.7","22877.7","21253.1","19544.2","16311.7","22873.3","16574.2","23432.1","21716.2","20026.1"
"B7ZAQ6",NA,"543.942",NA,NA,NA,NA,"196.871","340.895",NA,"344.673","214.138","612.878","261.932","248.171","392.105",NA,"440.22","379.123",NA,NA,"420.946","469.439",NA,"442.128",NA,NA,"715.539","542.553","578.232","478.069","668.471","431.802","511.512","619.446",NA,NA,"550.225","356.445",NA,NA,"286.239",NA
"C4AMC7","4651.22","3464.56","5781.14","4243.2","4633.28","3727.17","5037.1","4276.34","5692","4040.42","4548.24","3826.53","3811.12","4543.67","4452.07","4035.8","3139.38","2656.31","4582.7","4112.31","6412.49","5053.21","4502.55","4618.27","5469.98","5001.43","4105.44","5242.89","2525.28","1589.97","2873.8","5364.17","4897.62","3193.52","5008.06","5355.08","2508.18","3002.58","2583.47","3390.09","4220.28","5951.27"
"C9JLW8","5511.01","4566.21","5972.55","3972.18","6133.05","7055.1","3558.42","5753.3","4592.81","6095.13","5654.85","5943.21","6617.41","5594.93","6039.54","5667.99","5814.93","2953.13","3864.44","5087.38","5011.51","7312.34","5807.59","5357.18","5179.67","5884.39","4855.77","5044.41","3481.44","3535.34","4898.58","4926.67","6857.9","4972.46","6711.97","5406.35","4330.39","4857.16","3040.88","2743.06","7409.19","6051.35"
"E9PAV3","50903.7","41576.3","50010.3","33584.9","32174.5","61014.6","41652.6","32057.3","48531.4","51653.1","32064.5","38428.8","55103.3","37711.7","48998.6","38411.5","33127.2","27581.8","28017.4","52205.2","44178.7","60919.9","32547.2","33337.5","43894.7","43342.2","44503","35184","25565.4","14843","46223.4","35623.1","30945.5","43892.3","43498.3","31910.3","23754.9","42570.2","28058.2","31010.6","32448.3","40525.5"
