;bCT3_1db40_1;bCT3_1db40_2;bCT3_1dT40_1;bCT3_1dT40_2;bCT3_2db40_1;bCT3_2dT40_1;bCT4_dCA2_1;bCT4_dCA2_2;bCT4_dTR2_1;bCT4_dTR2_2
ENSG00000290825.1;0;0;0;0;0;2;3;0;0;0
ENSG00000223972.6;0;0;0;0;0;0;0;0;0;0
ENSG00000227232.5;65;111;82;79;108;95;68;61;68;44
ENSG00000278267.1;4;3;3;2;4;1;5;4;0;1
ENSG00000243485.5;0;0;0;0;0;0;0;0;0;0
ENSG00000284332.1;0;0;0;0;0;0;0;0;0;0
ENSG00000237613.2;0;0;0;0;0;0;0;0;0;0
ENSG00000268020.3;0;0;0;0;0;0;0;0;0;0
ENSG00000290826.1;0;0;0;0;0;0;0;0;0;0
ENSG00000240361.3;0;0;0;0;0;0;0;0;0;0
ENSG00000186092.7;0;0;0;0;0;0;0;0;0;0
ENSG00000238009.6;0;0;0;0;0;2;0;0;0;0
ENSG00000239945.1;0;0;0;0;0;0;0;0;0;0
ENSG00000233750.3;0;2;0;1;0;1;1;0;0;0
ENSG00000268903.1;5;8;16;3;19;5;9;10;13;3
ENSG00000269981.1;5;17;12;10;18;6;9;8;8;7
ENSG00000239906.1;0;0;0;0;0;0;0;0;0;0
ENSG00000241860.7;1;12;1;4;5;2;5;5;2;3
ENSG00000222623.1;0;0;0;0;0;0;0;0;0;0
ENSG00000241599.1;0;0;0;0;0;0;0;0;0;0
ENSG00000279928.2;0;0;1;0;1;2;3;3;0;0
ENSG00000279457.4;110;179;105;139;197;205;157;133;123;91
ENSG00000273874.1;0;0;0;0;0;0;1;0;3;0
ENSG00000228463.10;3;18;9;5;4;5;7;6;9;12
ENSG00000286448.1;0;0;0;0;0;0;0;0;0;0
ENSG00000236679.2;0;2;0;0;0;1;0;0;0;1
ENSG00000236601.2;0;0;0;0;0;0;0;0;0;0
ENSG00000290385.1;5;11;4;10;16;6;5;3;1;4
ENSG00000269732.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284733.2;0;0;0;0;0;0;0;0;0;0
ENSG00000237094.13;0;0;0;0;0;0;0;0;0;0
ENSG00000233653.3;0;0;0;0;0;0;0;0;0;0
ENSG00000250575.1;0;1;0;0;0;0;0;0;0;0
ENSG00000278757.1;0;0;0;0;0;0;0;0;0;0
ENSG00000230021.10;8;14;5;5;10;6;5;7;0;6
ENSG00000235146.2;0;0;0;0;0;0;0;0;0;0
ENSG00000225972.1;7;28;23;25;21;27;13;17;10;18
ENSG00000225630.1;1960;2732;1450;2253;1890;2326;121;143;113;132
ENSG00000237973.1;1942;3741;2456;3226;2880;3545;1331;1172;952;977
ENSG00000278791.1;0;0;0;0;0;0;0;0;0;0
ENSG00000229344.1;50;114;57;144;59;74;85;70;56;62
ENSG00000240409.1;0;0;1;0;0;1;1;0;0;0
ENSG00000248527.1;2697;4216;2325;3506;2854;3737;4086;3054;2606;2406
ENSG00000198744.5;40;101;51;88;60;82;65;63;36;40
ENSG00000268663.1;0;0;0;0;0;0;0;0;0;0
ENSG00000284662.2;0;0;0;0;0;0;0;0;0;0
ENSG00000229376.3;3;3;1;0;2;1;0;3;1;1
ENSG00000291215.1;35;59;25;54;52;57;27;49;41;35
ENSG00000223181.1;0;0;1;0;0;0;0;0;0;0
ENSG00000229905.1;0;0;0;0;0;0;1;0;0;0
ENSG00000228327.6;0;0;0;0;0;0;0;0;0;0
ENSG00000237491.10;13;29;25;20;28;24;22;23;22;15
ENSG00000285268.1;0;0;0;0;0;0;0;0;0;0
ENSG00000290784.1;5;4;1;6;1;6;8;3;4;2
ENSG00000230092.8;0;0;0;0;0;0;0;0;0;0
ENSG00000177757.2;9;17;24;30;18;37;21;23;15;21
ENSG00000225880.6;8;28;10;10;7;16;5;10;8;8
ENSG00000228794.12;422;756;491;595;649;539;538;673;541;548
ENSG00000288531.1;0;0;0;0;1;0;0;0;4;1
ENSG00000230368.2;0;0;0;0;0;0;0;0;0;0
ENSG00000234711.1;0;0;0;0;0;0;0;1;0;0
